Configuration loaded
Connected to MongoDB: avtopia_devdb
WARNING: Could not create unique placeId index: {ok: 0.0, errmsg: Index build failed: 55ee6fc0-1a22-4f5a-9740-cdcfdbc7c706: Collection avtopia_devdb.avtopia_business ( 4a5df79e-dc57-44fb-a75c-5a7df823bcce ) :: caused by :: E11000 duplicate key error collection: avtopia_devdb.avtopia_business index: placeId_1 dup key: { placeId: null }, code: 11000, codeName: DuplicateKey, keyPattern: {placeId: 1}, keyValue: {placeId: null}, $clusterTime: {clusterTime: Timestamp(1777993066, 9), signature: {hash: BsonBinary(0345e3b2151cf164544e42dd2601fb696358dc64), keyId: 7598248908464062466}}, operationTime: Timestamp(1777993066, 9)}
Reconnected to MongoDB
Loaded 1057 cached geocode result(s) from assets/db_code lookups/charter_geocode_cache.json
Loaded 1974 charter operator entries from assets/charter_operators.json

Geocoding 1067 charters with no airport code...
Airport geocoding: 1026 assigned, 41 could not resolve.

Skipping 2 entries with no name.
  [~] UPD  "TRANSNORTHERN AVIATION" | ANCHORAGE, AK
  [~] UPD  "TRUE NORTH AIR LLC" | ANCHORAGE, AK
  [~] UPD  "TRYGG AIR ALASKA" | KING SALMON, AK
  [~] UPD  "TUCKER AVIATION INC" | DILLINGHAM, AK
  [~] UPD  "TWO IN THE BUSH AVIATION SERVICES" | WILLOW, AK
  [~] UPD  "ULTIMA THULE AIR" | WRANGELL, AK
  [~] UPD  "URSUS AIR LLC" | YAKUTAT, AK
  [~] UPD  "V2 AVIATION, LLC" | KETCHIKAN, AK
  [~] UPD  "VAN AIR LLC" | DILLINGHAM, AK
  [~] UPD  "VANARSDALE AIR SERVICE LLC" | WASILLA, AK
  [~] UPD  "VANDERPOOL, SR., ROBERT W" | RED DEVIL, AK
  [~] UPD  "VANDEVENTER, MATTHEW S" | DILLINGHAM, AK
  [~] UPD  "VERTICAL SOLUTIONS LLC" | VALDEZ, AK
  [~] UPD  "VERTIGO, LLC" | KODIAK, AK
  [~] UPD  "VIKING AIR LLC" | ANCHORAGE, AK
  [~] UPD  "VMO LLC" | ANCHORAGE, AK
  [~] UPD  "WARBELOWS AIR VENTURES, INC." | FAIRBANKS, AK
  [~] UPD  "WARD AIR, INC." | JUNEAU, AK
  [~] UPD  "WIEDERKEHR AIR, INC." | PALMER, AK
  [~] UPD  "WILD BLUE AIR, LLC" | HOMER, AK
  [~] UPD  "WILLOW CREEK AVIATION LLC" | ILIAMNA, AK
  [~] UPD  "WING AND A PRAYER AVIATION INC" | CANTWELL, AK
  [~] UPD  "WING, ROBERT EVERTS" | FAIRBANKS, AK
  [~] UPD  "WINGS AIRWAYS LLC" | JUNEAU, AK
  [~] UPD  "WOLF MOUNTAIN AVIATION LLC" | WASILLA, AK
  [~] UPD  "WOMACK AVIATION LLC" | ANCHORAGE, AK
  [~] UPD  "WOOD TIKCHIK AIR, LLC" | ALEKNAGIK, AK
  [~] UPD  "WRANGELL MOUNTAIN AIR, INC." | MC CARTHY, AK
  [~] UPD  "WRIGHT AIR SERVICE" | FAIRBANKS, AK
  [~] UPD  "YUKON AIR SERVICE INC" | FAIRBANKS, AK
  [~] UPD  "YUKON HELICOPTERS INC" | BETHEL, AK
  [~] UPD  "YUTE AIR TAXI INC." | BETHEL, AK
  [~] UPD  "AIRMED INTERNATIONAL, LLC" | BIRMINGHAM, AL
  [~] UPD  "AVCON JET NORTH AMERICA, LLC" | BIRMINGHAM, AL
  [~] UPD  "CARTER AVIATION, LLC" | ANDALUSIA, AL
  [~] UPD  "CHUCK BYRD AVIATION, LLC" | DOTHAN, AL
  [~] UPD  "EXECUTIVE AVIATION GROUP LLC" | ORANGE BEACH, AL
  [~] UPD  "HAYNES AVIATION LLC" | WETUMPKA, AL
  [~] UPD  "INTENSIVE AIR CARE CHARTER AIR INC" | GULF SHORES, AL
  [~] UPD  "INTERNATIONAL JET CHARTER, INC." | BESSEMER, AL
  [~] UPD  "JET SERVICES, INC" | MOBILE, AL
  [~] UPD  "NAUTILUS AVIATION" | FORT RUCKER, AL
  [~] UPD  "SOUTHERN SKY AVIATION" | MOBILE, AL
  [~] UPD  "SOUTHERN SKY AVIATION CHARTERS, LLC." | VESTAVIA HILLS, AL
  [~] UPD  "AERIAL PATROL LLC" | NORTH LITTLE ROCK, AR
  [~] UPD  "AERO MED EXPRESS" | ROGERS, AR
  [~] UPD  "AIRBORNE FLYING SERVICE, INC." | HOT SPRINGS, AR
  [~] UPD  "AIRO" | SPRINGDALE, AR
